as_of,B00241,B07223,B03193,B15709,B04687,B05548,B05011,B13104,B06753,B08336,B10749,B10612
6/8/2003,29.7955,71.6247,177.235,13.0237,1253.03,24.5214,39.5102,27.1652,29.7179,30.061,18.4695,51.2795
6/9/2003,29.2396,70.2157,174.758,12.9134,1232.35,24.2264,39.2537,26.7683,29.3802,29.7085,18.2536,50.3588
6/10/2003,29.3508,70.9202,175.938,13.0036,1244.76,24.4444,39.5102,27.0116,29.6739,29.975,18.4095,50.719
6/11/2003,29.5731,72.2118,178.178,13.154,1261.3,24.7651,39.7383,27.242,29.9528,30.3704,18.6734,51.5597
6/12/2003,29.5731,72.4467,178.06,13.134,1257.16,24.8035,39.7953,27.2292,29.9235,30.4048,18.7094,51.6398
6/13/2003,29.1284,71.1551,176.645,12.9535,1248.89,24.547,39.5957,27.1012,29.6005,30.104,18.5295,51.3595
6/14/2003,29.1284,71.1551,176.645,12.9535,1248.89,24.547,39.5957,27.1012,29.6005,30.104,18.5295,51.3595
6/15/2003,29.1284,71.1551,176.645,12.9535,1248.89,24.547,39.5957,27.1012,29.6005,30.104,18.5295,51.3595
6/16/2003,29.9067,72.6815,179.829,13.164,1273.7,25.0985,39.9378,27.7157,30.2612,30.7745,18.8893,52.4003
6/17/2003,29.9067,72.7989,179.947,13.2543,1273.7,25.1242,39.9949,27.7541,30.2465,30.8003,18.8653,52.4003
6/18/2003,30.129,72.7989,180.418,13.2242,1273.7,25.0857,39.9663,27.6132,30.2465,30.7573,18.8293,52.2402
6/19/2003,29.4619,71.6247,178.296,13.1239,1253.03,24.7009,39.6813,27.1908,29.8354,30.2931,18.5774,51.3996
6/20/2003,29.4619,71.1551,177.98,13.1139,1253.03,24.7266,39.6243,27.2676,29.7913,30.3189,18.6014,51.4796
6/21/2003,29.4619,71.1551,177.98,13.1139,1253.03,24.7266,39.6243,27.2676,29.7913,30.3189,18.6014,51.4796
6/22/2003,29.4619,71.1551,177.98,13.1139,1253.03,24.7266,39.6243,27.2676,29.7913,30.3189,18.6014,51.4796
6/23/2003,28.7949,69.3938,175.503,12.9034,1232.35,24.3803,39.3107,26.9091,29.3655,29.8891,18.3496,50.7591
6/24/2003,28.6837,69.5112,175.385,12.9034,1232.35,24.4188,39.2822,27.0116,29.3362,29.9492,18.3616,50.9993
6/25/2003,28.4613,69.5112,174.559,12.8532,1224.05,24.2136,39.2394,26.7555,29.1747,29.6999,18.244,50.679
6/26/2003,29.1284,70.6854,176.682,13.0036,1236.5,24.4957,39.4112,26.959,29.4977,30.0266,18.4006,50.9592
6/27/2003,28.6837,70.2157,175.739,12.9134,1224.05,24.2521,39.2967,26.6513,29.204,29.7343,18.232,50.6702
6/28/2003,28.6837,70.2157,175.739,12.9134,1224.05,24.2521,39.2967,26.6513,29.204,29.7343,18.232,50.6702
6/29/2003,28.6837,70.2157,175.739,12.9134,1224.05,24.2521,39.2967,26.6513,29.204,29.7343,18.232,50.6702
6/30/2003,28.9061,70.0983,175.739,12.8833,1224.05,24.2136,39.2394,26.6128,29.16,29.6828,18.2199,50.6702
7/1/2003,29.1284,70.8028,176.682,12.9234,1232.35,24.406,39.3539,26.8051,29.4243,29.9321,18.2922,51.0318
7/2/2003,29.6843,72.3292,178.452,13.0437,1244.8,24.6881,39.6401,26.9974,29.7473,30.2759,18.4849,51.4739
7/3/2003,29.2396,71.977,177.508,12.9936,1236.5,24.4957,39.5256,26.8179,29.5124,30.0352,18.3524,51.1524
7/4/2003,29.2396,71.977,177.508,12.9936,1236.5,24.4957,39.5256,26.8179,29.5124,30.0352,18.3524,51.1524
7/5/2003,29.2396,71.977,177.508,12.9936,1236.5,24.4957,39.5256,26.8179,29.5124,30.0352,18.3524,51.1524
7/6/2003,29.2396,71.977,177.508,12.9936,1236.5,24.4957,39.5256,26.8179,29.5124,30.0352,18.3524,51.1524
7/7/2003,30.4625,73.9731,181.282,13.154,1257.25,24.9574,39.8118,27.1256,30.1437,30.6026,18.5933,52.1168
7/8/2003,30.7961,75.1473,182.462,13.164,1261.4,25.0472,39.9836,27.1512,30.2906,30.7143,18.6053,52.3579
7/9/2003,31.1296,75.2647,181.99,13.164,1257.25,24.9061,39.9549,27.0743,30.129,30.551,18.509,52.157
7/10/2003,30.3514,73.7383,179.749,12.9435,1240.65,24.5727,39.726,26.8692,29.7913,30.1384,18.244,51.514
7/11/2003,30.7961,74.0905,181.046,13.0137,1253.1,24.8164,39.8977,27.1128,30.0997,30.422,18.3885,51.9159
7/12/2003,30.7961,74.0905,181.046,13.0137,1253.1,24.8164,39.8977,27.1128,30.0997,30.422,18.3885,51.9159
7/13/2003,30.7961,74.0905,181.046,13.0137,1253.1,24.8164,39.8977,27.1128,30.0997,30.422,18.3885,51.9159
7/14/2003,31.2408,75.1473,182.226,13.0137,1261.4,24.9574,40.0122,27.3051,30.2465,30.6026,18.4488,52.2775
7/15/2003,31.1296,74.795,181.4,12.9836,1261.4,24.8677,39.9263,27.1512,30.2759,30.4908,18.3524,52.0766
7/16/2003,30.9072,74.0905,180.457,12.8633,1253.1,24.7138,39.6115,27.0487,30.129,30.3017,18.2681,51.6346
7/17/2003,30.129,71.977,177.39,12.7329,1236.5,24.406,39.2394,26.7795,29.7032,29.9321,18.1357,51.1926
7/18/2003,30.2402,72.7989,178.688,12.9134,1248.95,24.6881,39.5542,27.023,29.9675,30.2759,18.3645,51.6346
7/19/2003,30.2402,72.7989,178.688,12.9134,1248.95,24.6881,39.5542,27.023,29.9675,30.2759,18.3645,51.6346
7/20/2003,30.2402,72.7989,178.688,12.9134,1248.95,24.6881,39.5542,27.023,29.9675,30.2759,18.3645,51.6346
7/21/2003,29.5731,72.0944,177.036,12.753,1232.35,24.329,39.3253,26.6897,29.5564,29.8375,18.1718,51.072
7/22/2003,30.129,72.9163,178.334,12.8532,1244.8,24.5599,39.5542,26.7667,29.7913,30.1212,18.3524,51.2729
7/23/2003,30.129,73.5034,178.688,12.8532,1244.8,24.5727,39.5686,26.7923,29.9235,30.1384,18.3404,51.1122
7/24/2003,29.4619,72.7989,177.272,12.763,1240.65,24.406,39.3674,26.7026,29.6739,29.9235,18.2802,50.7907
7/25/2003,29.9067,73.6208,179.277,12.8532,1261.4,24.8292,39.6835,27.1256,30.2024,30.4478,18.5451,51.715
7/26/2003,29.9067,73.6208,179.277,12.8532,1261.4,24.8292,39.6835,27.1256,30.2024,30.4478,18.5451,51.715
7/27/2003,29.9067,73.6208,179.277,12.8532,1261.4,24.8292,39.6835,27.1256,30.2024,30.4478,18.5451,51.715
7/28/2003,30.0178,73.9731,179.631,12.9034,1261.4,24.7779,39.5973,26.9974,30.129,30.379,18.4969,51.9561
7/29/2003,29.9067,73.6208,178.688,12.8131,1253.1,24.5983,39.4824,26.7795,29.9382,30.1642,18.3645,51.7953
7/30/2003,29.6843,73.2686,177.862,12.8332,1253.1,24.5599,39.4824,26.8307,29.9235,30.1126,18.3404,51.7551
7/31/2003,30.0178,73.7383,179.159,12.9234,1253.1,24.624,39.5111,26.9333,30.129,30.2071,18.3885,51.9561
8/1/2003,29.7955,73.0337,178.098,12.8332,1236.5,24.3803,39.2812,26.6641,29.8941,29.8977,18.244,51.514
8/2/2003,29.7955,73.0337,178.098,12.8332,1236.5,24.3803,39.2812,26.6641,29.8941,29.8977,18.244,51.514
8/3/2003,29.7955,73.0337,178.098,12.8332,1236.5,24.3803,39.2812,26.6641,29.8941,29.8977,18.244,51.514
8/4/2003,29.9067,72.7989,178.216,12.8131,1240.65,24.4444,39.3099,26.7538,29.9822,29.975,18.3043,51.3935
8/5/2003,29.0172,71.3899,175.503,12.6126,1219.9,24.0084,38.8214,26.318,29.4536,29.4421,18.0634,50.5095
8/6/2003,28.7949,71.0376,175.149,12.6427,1224.05,24.0597,38.7927,26.459,29.4683,29.5022,18.1116,50.63
8/7/2003,28.6837,71.1551,175.503,12.7831,1232.35,24.2264,38.9076,26.7795,29.7032,29.7171,18.244,51.072
8/8/2003,28.6837,70.9202,175.739,12.773,1240.65,24.3162,38.9939,26.8692,29.6886,29.8203,18.3524,51.2729
8/9/2003,28.6837,70.9202,175.739,12.773,1240.65,24.3162,38.9939,26.8692,29.6886,29.8203,18.3524,51.2729
8/10/2003,28.6837,70.9202,175.739,12.773,1240.65,24.3162,38.9939,26.8692,29.6886,29.8203,18.3524,51.2729
8/11/2003,28.9061,71.7421,176.8,12.8332,1244.8,24.3931,39.0801,26.8948,29.8354,29.9235,18.4247,51.3131
8/12/2003,29.5731,72.9163,178.688,12.9134,1257.25,24.6368,39.3099,27.0743,30.1143,30.2243,18.5571,51.7953
8/13/2003,29.5731,73.1512,178.098,12.9034,1248.95,24.4957,39.1663,26.8179,29.9528,30.0352,18.4728,51.6346
8/14/2003,29.7955,73.5034,178.806,12.9936,1257.25,24.6496,39.2525,26.9974,30.0997,30.2329,18.6053,51.9159
8/15/2003,29.9067,73.7383,179.041,13.0137,1253.1,24.6625,39.2525,26.959,30.0997,30.2501,18.6053,51.7953
8/16/2003,29.9067,73.7383,179.041,13.0137,1253.1,24.6625,39.2525,26.959,30.0997,30.2501,18.6053,51.7953
8/17/2003,29.9067,73.7383,179.041,13.0137,1253.1,24.6625,39.2525,26.959,30.0997,30.2501,18.6053,51.7953
8/18/2003,30.7961,75.2647,181.046,13.0939,1257.25,24.8933,39.5398,27.0359,30.4814,30.5252,18.7137,52.1971
8/19/2003,30.7961,75.7344,182.108,13.144,1261.4,24.9574,39.741,27.0487,30.6576,30.6026,18.7257,52.3579
8/20/2003,30.3514,75.9692,182.108,13.1941,1257.25,24.9061,39.7984,26.9718,30.6283,30.5424,18.7016,52.2373
8/21/2003,30.7961,76.7911,183.405,13.2944,1257.25,24.9831,39.9421,27.0359,30.7604,30.6369,18.7619,52.3981
8/22/2003,30.5737,76.0866,181.99,13.164,1240.65,24.7266,39.6835,26.8051,30.5695,30.3189,18.5331,51.9159
8/23/2003,30.5737,76.0866,181.99,13.164,1240.65,24.7266,39.6835,26.8051,30.5695,30.3189,18.5331,51.9159
8/24/2003,30.5737,76.0866,181.99,13.164,1240.65,24.7266,39.6835,26.8051,30.5695,30.3189,18.5331,51.9159
8/25/2003,30.4625,75.7344,181.99,13.1039,1240.65,24.7394,39.6835,26.882,30.6136,30.3447,18.521,51.8757
8/26/2003,30.5737,75.9692,182.344,13.1139,1244.8,24.8164,39.8559,26.9333,30.6576,30.4306,18.5692,51.9561
8/27/2003,30.7961,76.9085,183.052,13.144,1244.8,24.8164,39.9852,26.8948,30.7017,30.4392,18.5692,52.0766
8/28/2003,31.1296,77.613,184.585,13.2443,1257.25,24.9703,40.1872,26.9718,30.9513,30.6283,18.7137,52.4382
8/29/2003,31.2408,78.0827,185.764,13.3144,1261.4,25.0985,40.3314,27.1128,31.0981,30.7917,18.81,52.8401
8/30/2003,31.2408,78.0827,185.764,13.3144,1261.4,25.0985,40.3314,27.1128,31.0981,30.7917,18.81,52.8401
8/31/2003,31.2408,78.0827,185.764,13.3144,1261.4,25.0985,40.3314,27.1128,31.0981,30.7917,18.81,52.8401
9/1/2003,31.2408,78.0827,185.764,13.3144,1261.4,25.0985,40.3314,27.1128,31.0981,30.7917,18.81,52.8401
9/2/2003,31.6855,79.022,187.651,13.4448,1277.99,25.4448,40.7642,27.523,31.5092,31.2129,19.0509,53.4428
9/3/2003,31.5743,79.6091,187.298,13.4147,1282.14,25.5602,40.9949,27.664,31.612,31.359,19.099,53.3624
9/4/2003,32.019,80.0788,187.416,13.4147,1282.14,25.6115,41.1392,27.6512,31.7001,31.4106,19.099,53.3223
9/5/2003,31.7967,79.844,186.472,13.3846,1273.84,25.4448,41.1104,27.4589,31.4652,31.2043,19.0147,53.0008
9/6/2003,31.7967,79.844,186.472,13.3846,1273.84,25.4448,41.1104,27.4589,31.4652,31.2043,19.0147,53.0008
9/7/2003,31.7967,79.844,186.472,13.3846,1273.84,25.4448,41.1104,27.4589,31.4652,31.2043,19.0147,53.0008
9/8/2003,32.4637,80.9007,188.241,13.5551,1286.29,25.7013,41.4277,27.6512,31.8763,31.5224,19.2074,53.4026
9/9/2003,32.2414,80.3136,186.826,13.4448,1277.99,25.4833,41.2546,27.523,31.5973,31.2645,19.087,52.9606
9/10/2003,31.2408,78.435,184.349,13.2342,1265.55,25.1883,40.8796,27.3307,31.0687,30.8948,18.9064,52.3981
9/11/2003,31.5743,79.3743,185.057,13.2844,1269.69,25.3294,40.9661,27.4845,31.3183,31.0667,18.9786,52.4382
9/12/2003,31.5743,79.4917,185.175,13.3445,1273.84,25.3807,41.0815,27.4974,31.3771,31.1355,19.0509,52.4784
9/13/2003,31.5743,79.4917,185.175,13.3445,1273.84,25.3807,41.0815,27.4974,31.3771,31.1355,19.0509,52.4784
9/14/2003,31.5743,79.4917,185.175,13.3445,1273.84,25.3807,41.0815,27.4974,31.3771,31.1355,19.0509,52.4784
9/15/2003,31.2408,79.2569,184.703,13.3044,1265.55,25.2909,40.9661,27.3948,31.2009,31.0234,18.9425,52.1971
9/16/2003,32.019,80.7833,187.18,13.4548,1282.14,25.65,41.2257,27.664,31.7441,31.4634,19.1713,52.8401
9/17/2003,32.019,80.6659,186.944,13.4047,1286.29,25.573,41.2257,27.6127,31.5826,31.3598,19.099,52.6391
9/18/2003,32.3526,81.4878,188.241,13.545,1302.89,25.9065,41.5719,27.9204,31.9203,31.7739,19.3038,53.2017
9/19/2003,32.2414,81.4878,187.533,13.545,1298.74,25.8295,41.6296,27.7537,31.7735,31.679,19.2435,53.2017
9/20/2003,32.2414,81.4878,187.533,13.545,1298.74,25.8295,41.6296,27.7537,31.7735,31.679,19.2435,53.2017
9/21/2003,32.2414,81.4878,187.533,13.545,1298.74,25.8295,41.6296,27.7537,31.7735,31.679,19.2435,53.2017
9/22/2003,31.6855,80.3136,185.175,13.3946,1282.14,25.4833,41.2546,27.4589,31.2596,31.2649,19.0147,52.599
9/23/2003,31.9078,81.253,186.236,13.4448,1290.44,25.6372,41.3988,27.6127,31.5679,31.4547,19.0749,53.0008
9/24/2003,30.6849,79.1395,183.052,13.2844,1269.63,25.1498,40.9805,27.2198,30.8338,30.8508,18.81,52.1971
9/25/2003,30.3514,77.8479,181.636,13.0939,1265.46,25.0087,40.7488,27.1299,30.6576,30.6696,18.6751,51.8757
9/26/2003,30.129,76.4389,180.221,12.9234,1252.98,24.8548,40.5461,26.963,30.4374,30.4799,18.5784,51.715
9/27/2003,30.129,76.4389,180.221,12.9234,1252.98,24.8548,40.5461,26.963,30.4374,30.4799,18.5784,51.715
9/28/2003,30.129,76.4389,180.221,12.9234,1252.98,24.8548,40.5461,26.963,30.4374,30.4799,18.5784,51.715
9/29/2003,30.5737,77.613,181.518,13.0237,1265.46,25.0985,40.8068,27.1556,30.7898,30.7818,18.7356,52.1971
9/30/2003,29.9067,76.6737,180.575,12.9435,1261.3,24.8292,40.5751,26.9373,30.364,30.454,18.5905,52.0766
10/1/2003,30.5737,78.0827,183.405,13.1741,1286.28,25.3807,41.0964,27.361,31.1128,31.1355,18.9532,53.041
10/2/2003,30.5737,78.7872,183.995,13.2342,1290.44,25.4448,41.2412,27.4638,31.1568,31.2045,18.9894,53.1213
10/3/2003,31.2408,80.4311,186.118,13.3846,1298.77,25.6756,41.5598,27.5665,31.5092,31.4979,19.1345,53.3223
10/4/2003,31.2408,80.4311,186.118,13.3846,1298.77,25.6756,41.5598,27.5665,31.5092,31.4979,19.1345,53.3223
10/5/2003,31.2408,80.4311,186.118,13.3846,1298.77,25.6756,41.5598,27.5665,31.5092,31.4979,19.1345,53.3223
10/6/2003,31.4631,81.1356,186.59,13.3946,1302.93,25.7911,41.7335,27.5665,31.5533,31.6359,19.2191,53.5232
10/7/2003,31.7967,81.8401,187.533,13.4247,1307.09,25.9065,41.8204,27.6692,31.7441,31.7912,19.2674,53.8045
10/8/2003,31.4631,81.4878,186.944,13.3946,1302.93,25.7911,41.7625,27.5665,31.5826,31.6359,19.207,53.8045
10/9/2003,31.7967,82.0749,188.123,13.4949,1302.93,25.9065,41.9942,27.6564,31.7148,31.7826,19.2916,53.8446
10/10/2003,31.9078,82.4271,188.123,13.5049,1302.93,25.8937,42.0521,27.6307,31.7295,31.7653,19.2916,53.7241
10/11/2003,31.9078,82.4271,188.123,13.5049,1302.93,25.8937,42.0521,27.6307,31.7295,31.7653,19.2916,53.7241
10/12/2003,31.9078,82.4271,188.123,13.5049,1302.93,25.8937,42.0521,27.6307,31.7295,31.7653,19.2916,53.7241
10/13/2003,32.1302,83.3665,189.185,13.545,1315.42,26.0732,42.1969,27.7591,31.9497,31.9896,19.4246,54.1661
10/14/2003,32.2414,83.6013,189.656,13.5751,1319.58,26.1758,42.3417,28.0672,32.0231,32.1104,19.485,54.4474
10/15/2003,32.2414,83.0142,188.949,13.4849,1311.25,26.1117,42.2548,28.0287,31.8322,32.0327,19.4608,54.2063
10/16/2003,32.2414,83.6013,189.421,13.4548,1319.58,26.2015,42.3417,28.1443,31.9791,32.1363,19.4729,54.367
10/17/2003,31.6855,81.7226,187.298,13.2844,1307.09,25.9321,42.0231,27.9902,31.5533,31.8084,19.3158,53.8446
10/18/2003,31.6855,81.7226,187.298,13.2844,1307.09,25.9321,42.0231,27.9902,31.5533,31.8084,19.3158,53.8446
10/19/2003,31.6855,81.7226,187.298,13.2844,1307.09,25.9321,42.0231,27.9902,31.5533,31.8084,19.3158,53.8446
10/20/2003,31.9078,81.8401,188.241,13.3144,1311.25,26.0604,42.11,28.1699,31.7295,31.9724,19.3641,54.0857
10/21/2003,32.4637,82.8968,188.595,13.4347,1307.09,26.0989,42.1969,28.1956,31.9203,32.0155,19.3279,54.0054
10/22/2003,31.4631,81.1356,186.236,13.1741,1290.44,25.7013,41.8494,27.7719,31.3771,31.541,19.0982,53.1615
10/23/2003,31.2408,80.7833,186.118,13.144,1294.6,25.7911,41.7915,27.7719,31.3477,31.6359,19.1828,53.3624
10/24/2003,31.2408,80.4311,186,13.1139,1294.6,25.6756,41.7046,27.7206,31.1422,31.4979,19.1224,53.2017
10/25/2003,31.2408,80.4311,186,13.1139,1294.6,25.6756,41.7046,27.7206,31.1422,31.4979,19.1224,53.2017
10/26/2003,31.2408,80.4311,186,13.1139,1294.6,25.6756,41.7046,27.7206,31.1422,31.4979,19.1224,53.2017
10/27/2003,31.3519,81.0181,186.708,13.1741,1294.6,25.7269,41.7915,27.7462,31.2156,31.5583,19.1466,53.7241
10/28/2003,32.3526,82.8968,189.892,13.3746,1307.09,26.1117,42.11,28.1699,31.891,32.0414,19.3641,54.1259
10/29/2003,32.4637,83.2491,190.364,13.3846,1311.25,26.1502,42.2983,28.2085,31.8469,32.0845,19.4004,54.3268
10/30/2003,32.7973,83.0142,190.01,13.3946,1307.09,26.1373,42.3564,28.1828,31.8176,32.0586,19.4487,54.1259
10/31/2003,32.7973,83.0142,190.482,13.4548,1311.25,26.2271,42.4727,28.3497,31.935,32.1708,19.4729,54.3268
11/1/2003,32.7973,83.0142,190.482,13.4548,1311.25,26.2271,42.4727,28.3497,31.935,32.1708,19.4729,54.3268
11/2/2003,32.7973,83.0142,190.482,13.4548,1311.25,26.2271,42.4727,28.3497,31.935,32.1708,19.4729,54.3268
11/3/2003,33.4643,83.9536,192.015,13.525,1319.58,26.4323,42.6762,28.4011,32.2287,32.4296,19.5938,54.6081
11/4/2003,33.242,83.4839,191.072,13.4548,1315.42,26.2912,42.6181,28.2983,32.0378,32.2484,19.5213,54.3268
11/5/2003,33.4643,83.6013,191.072,13.4548,1315.42,26.2528,42.6762,28.3112,32.0818,32.2139,19.485,54.367
11/6/2003,33.909,83.8362,191.897,13.5651,1319.58,26.4195,42.8797,28.3882,32.3315,32.4037,19.5696,54.6483
11/7/2003,33.5755,83.8362,191.662,13.6854,1315.42,26.3041,42.8506,28.3369,32.1846,32.2657,19.5575,54.5679
11/8/2003,33.5755,83.8362,191.662,13.6854,1315.42,26.3041,42.8506,28.3369,32.1846,32.2657,19.5575,54.5679
11/9/2003,33.5755,83.8362,191.662,13.6854,1315.42,26.3041,42.8506,28.3369,32.1846,32.2657,19.5575,54.5679
11/10/2003,32.7973,82.4271,190.128,13.5149,1311.25,26.1502,42.6471,28.1571,31.9056,32.0845,19.485,54.4072
11/11/2003,32.9084,81.8401,189.892,13.4748,1307.09,26.1373,42.589,28.2213,31.8763,32.0672,19.4729,54.3268
11/12/2003,33.5755,83.4839,192.841,13.6453,1319.58,26.4451,42.9378,28.5294,32.3461,32.4382,19.6784,54.6885
11/13/2003,33.4643,83.7187,192.841,13.6954,1319.58,26.4451,43.1123,28.722,32.2874,32.4382,19.7388,54.7688
11/14/2003,32.7973,82.3097,191.662,13.6252,1315.42,26.2399,42.996,28.5808,31.9203,32.1967,19.6663,54.5679
11/15/2003,32.7973,82.3097,191.662,13.6252,1315.42,26.2399,42.996,28.5808,31.9203,32.1967,19.6663,54.5679
11/16/2003,32.7973,82.3097,191.662,13.6252,1315.42,26.2399,42.996,28.5808,31.9203,32.1967,19.6663,54.5679
11/17/2003,32.6861,81.253,190.128,13.5049,1307.09,26.0732,42.8215,28.4011,31.7001,31.9896,19.5696,54.2464
11/18/2003,32.1302,80.4311,188.123,13.3946,1294.6,25.8424,42.6181,28.2341,31.3477,31.7049,19.3883,53.925
11/19/2003,32.6861,81.0181,189.303,13.4448,1298.77,26.0476,42.7634,28.4781,31.612,31.9551,19.4729,54.2063
11/20/2003,32.2414,80.5485,188.241,13.3245,1290.44,25.8295,42.5599,28.1828,31.333,31.6877,19.34,53.8045
11/21/2003,32.4637,81.0181,188.477,13.3245,1294.6,25.868,42.589,28.0801,31.3771,31.7394,19.4004,53.8446
11/22/2003,32.4637,81.0181,188.477,13.3245,1294.6,25.868,42.589,28.0801,31.3771,31.7394,19.4004,53.8446
11/23/2003,32.4637,81.0181,188.477,13.3245,1294.6,25.868,42.589,28.0801,31.3771,31.7394,19.4004,53.8446
11/24/2003,33.242,83.2491,191.78,13.4949,1311.25,26.2912,42.9669,28.4909,31.9937,32.257,19.618,54.5277
11/25/2003,33.1308,83.7187,192.133,13.5851,1315.42,26.3425,43.1268,28.4781,31.9497,32.3174,19.7147,54.7688
11/26/2003,33.242,84.1884,192.723,13.6353,1327.91,26.458,43.2727,28.5038,32.0525,32.4555,19.8114,55.1305
11/27/2003,33.242,84.1884,192.723,13.6353,1327.91,26.458,43.2727,28.5038,32.0525,32.4555,19.8114,55.1305
11/28/2003,33.242,84.6581,193.195,13.6854,1323.74,26.458,43.3019,28.4909,32.0672,32.4555,19.8356,55.1707
11/29/2003,33.242,84.6581,193.195,13.6854,1323.74,26.458,43.3019,28.4909,32.0672,32.4555,19.8356,55.1707
11/30/2003,33.242,84.6581,193.195,13.6854,1323.74,26.458,43.3019,28.4909,32.0672,32.4555,19.8356,55.1707
12/1/2003,33.7979,85.7148,194.846,13.8458,1340.39,26.7529,43.652,28.9018,32.4636,32.8178,20.0773,55.7332
12/2/2003,33.6867,85.1278,193.903,13.916,1340.39,26.6632,43.6812,29.0302,32.2874,32.7057,20.0773,55.693
12/3/2003,33.4643,83.9536,193.195,13.8759,1336.23,26.6247,43.6812,29.0302,32.1406,32.6539,20.1015,55.693
12/4/2003,33.5755,83.9536,193.431,13.9761,1344.56,26.7529,43.8271,29.0944,32.3608,32.8092,20.2344,55.9341
12/5/2003,32.9084,82.8968,191.897,13.9661,1336.23,26.5477,43.7104,28.9403,31.9937,32.559,20.1257,55.5323
12/6/2003,32.9084,82.8968,191.897,13.9661,1336.23,26.5477,43.7104,28.9403,31.9937,32.559,20.1257,55.5323
12/7/2003,32.9084,82.8968,191.897,13.9661,1336.23,26.5477,43.7104,28.9403,31.9937,32.559,20.1257,55.5323
12/8/2003,32.9084,83.1317,192.605,14.0363,1348.72,26.7401,43.9438,29.1843,32.2434,32.8006,20.2586,55.9341
12/9/2003,32.019,81.7226,190.482,14.0062,1340.39,26.5093,43.7396,28.9917,31.8469,32.5245,20.1982,55.5323
12/10/2003,32.019,81.1356,190.246,13.936,1336.23,26.4964,43.7396,28.8633,31.9056,32.49,20.1498,55.2108
12/11/2003,32.5749,82.7794,192.841,14.1065,1352.88,26.7914,44.0897,29.1072,32.258,32.8696,20.3432,55.6528
12/12/2003,32.7973,83.2491,193.431,14.2469,1361.21,26.8684,44.2064,29.1201,32.3315,32.9559,20.4158,55.7734
12/13/2003,32.7973,83.2491,193.431,14.2469,1361.21,26.8684,44.2064,29.1201,32.3315,32.9559,20.4158,55.7734
12/14/2003,32.7973,83.2491,193.431,14.2469,1361.21,26.8684,44.2064,29.1201,32.3315,32.9559,20.4158,55.7734
12/15/2003,32.3526,81.7226,191.897,14.1534,1352.88,26.7145,44.0605,28.9917,32.0525,32.7739,20.3311,55.6127
12/16/2003,32.5749,81.7226,192.369,14.1634,1361.21,26.894,44.2356,29.2099,32.214,32.9905,20.4641,55.9341
12/17/2003,32.4637,81.9575,192.723,14.1634,1365.37,26.9325,44.3231,29.1201,32.214,33.0339,20.4883,55.8939
12/18/2003,33.0196,83.3665,195.318,14.3841,1382.02,27.2531,44.7608,29.3255,32.6251,33.4325,20.6938,56.6172
12/19/2003,32.9084,83.4839,195.554,14.3741,1382.02,27.2403,44.8192,29.2356,32.493,33.4238,20.7059,56.6172
12/20/2003,32.9084,83.4839,195.554,14.3741,1382.02,27.2403,44.8192,29.2356,32.493,33.4238,20.7059,56.6172
12/21/2003,32.9084,83.4839,195.554,14.3741,1382.02,27.2403,44.8192,29.2356,32.493,33.4238,20.7059,56.6172
12/22/2003,32.9084,83.8362,196.144,14.4644,1390.35,27.3429,44.9359,29.287,32.5517,33.5538,20.8146,56.8583
12/23/2003,33.242,84.5407,196.615,14.4944,1390.35,27.4198,44.9797,29.3512,32.6398,33.6404,20.8197,57.0191
12/24/2003,33.242,84.4232,196.379,14.4944,1390.35,27.3814,45.038,29.3127,32.5811,33.5798,20.8076,57.0191
12/25/2003,33.242,84.4232,196.379,14.4944,1390.35,27.3814,45.038,29.3127,32.5811,33.5798,20.8076,57.0191
12/26/2003,33.242,84.6581,196.615,14.5145,1394.52,27.4198,45.0672,29.3255,32.6251,33.6404,20.844,57.0592
12/27/2003,33.242,84.6581,196.615,14.5145,1394.52,27.4198,45.0672,29.3255,32.6251,33.6404,20.844,57.0592
12/28/2003,33.242,84.6581,196.615,14.5145,1394.52,27.4198,45.0672,29.3255,32.6251,33.6404,20.844,57.0592
12/29/2003,33.7979,86.0671,198.738,14.685,1407.05,27.7712,45.4479,29.6465,33.0509,34.0651,21.0865,57.7825
12/30/2003,33.6867,86.0671,198.856,14.675,1407.05,27.7842,45.4772,29.6605,33.0069,34.0737,21.0986,57.7717
12/31/2003,33.6867,85.7148,198.738,14.6249,1411.22,27.8362,45.5358,29.7634,33.0509,34.1517,21.1471,57.8926
1/1/2004,33.6867,85.7148,198.738,14.6249,1411.22,27.8362,45.5358,29.7634,33.0509,34.1517,21.1471,57.8926
1/2/2004,33.7979,85.9497,198.149,14.6349,1411.22,27.7582,45.5358,29.5961,32.9334,34.0477,21.135,57.7717
1/3/2004,33.7979,85.9497,198.149,14.6349,1411.22,27.7582,45.5358,29.5961,32.9334,34.0477,21.135,57.7717
1/4/2004,33.7979,85.9497,198.149,14.6349,1411.22,27.7582,45.5358,29.5961,32.9334,34.0477,21.135,57.7717
1/5/2004,34.4649,87.7109,199.918,14.8154,1427.92,28.096,46.0043,29.9693,33.418,34.4637,21.3654,58.1748
1/6/2004,34.7985,88.0632,200.743,14.7653,1427.92,28.1349,46.1507,29.9564,33.5208,34.5157,21.3411,58.2555
1/7/2004,35.132,88.1806,201.923,14.7753,1427.92,28.2129,46.2678,29.9178,33.6529,34.6023,21.2926,58.2555
