as_of,B12997,B01157,B09833,B06061,B11293,B05947,B13835,B14040,B04313,B11222,B08385,B11999,B02396,B04312,B07347,B13177,B04841,B13086
1/29/2000,13.4164,10.5839,23.3723,10.4381,21.9455,10.7129,54.3649,38.5933,43.1685,31.4097,24.5161,12.2032,20.9243,47.321,9.67944,10.1535,1153.76,66.5931
1/30/2000,13.4164,10.5839,23.3723,10.4381,21.9455,10.7129,54.3649,38.5933,43.1685,31.4097,24.5161,12.2032,20.9243,47.321,9.67944,10.1535,1153.76,66.5931
1/31/2000,13.3719,10.5547,23.4008,10.6238,21.5224,10.7028,55.7858,39.0644,43.6149,31.4307,24.3419,12.083,20.9526,47.9154,9.67944,10.1329,1142.39,66.4306
2/1/2000,13.5275,10.7706,23.5716,10.7063,22.0866,10.8239,55.7858,39.5479,44.5889,31.9976,24.7193,12.2533,21.3911,48.9722,9.91745,10.2359,1153.76,68.4788
2/2/2000,13.572,10.8931,23.5716,10.7063,22.4533,10.9348,55.7858,40.0066,45.2248,32.4385,24.9661,12.3735,21.5609,49.6326,10.1713,10.2771,1173.26,69.5842
2/3/2000,13.7499,11.0565,23.7851,10.7888,22.9751,11.066,55.7858,40.6761,46.2258,33.4883,25.5322,12.5438,21.7307,50.7554,10.4252,10.3183,1187.89,71.2097
2/4/2000,13.761,11.0565,23.6855,10.6754,23.1303,11.0559,55.7858,40.5769,46.3341,33.4883,25.6048,12.594,21.6882,51.1186,10.5363,10.2771,1194.39,71.4048
2/5/2000,13.761,11.0565,23.6855,10.6754,23.1303,11.0559,55.7858,40.5769,46.3341,33.4883,25.6048,12.594,21.6882,51.1186,10.5363,10.2771,1194.39,71.4048
2/6/2000,13.761,11.0565,23.6855,10.6754,23.1303,11.0559,55.7858,40.5769,46.3341,33.4883,25.6048,12.594,21.6882,51.1186,10.5363,10.2771,1194.39,71.4048
2/7/2000,13.7499,11.074,23.472,10.6754,23.5252,11.0357,55.7858,40.4777,46.6858,33.6143,25.8588,12.6841,21.5892,51.6139,10.695,10.2256,1181.39,72.0225
2/8/2000,13.8721,11.2199,23.3866,10.6857,23.8636,11.1265,55.7858,40.9488,47.0781,34.6851,26.2434,12.7442,21.7024,51.9112,10.8061,10.2359,1173.26,73.7672
2/9/2000,13.6387,11.1849,22.988,10.4587,23.906,10.9853,55.7858,40.1926,45.9959,35.084,25.9531,12.634,21.4053,50.7554,10.8061,10.0711,1147.26,73.1062
2/10/2000,13.6165,11.3249,22.7033,10.4278,24.3855,10.9853,55.7858,41.11,46.9564,35.8188,26.3015,12.7142,21.2072,51.746,11.1552,10.0196,1132.64,75.7504
2/11/2000,13.4497,11.1557,22.4613,10.2525,24.4419,10.9348,55.7858,40.3537,46.077,35.2939,26.0402,12.604,21.2072,51.3498,10.9965,9.92696,1116.39,74.4825
2/12/2000,13.4497,11.1557,22.4613,10.2525,24.4419,10.9348,55.7858,40.3537,46.077,35.2939,26.0402,12.604,21.2072,51.3498,10.9965,9.92696,1116.39,74.4825
2/13/2000,13.4497,11.1557,22.4613,10.2525,24.4419,10.9348,55.7858,40.3537,46.077,35.2939,26.0402,12.604,21.2072,51.3498,10.9965,9.92696,1116.39,74.4825
2/14/2000,13.4942,11.1907,22.5752,10.2318,24.3432,10.9449,55.7858,40.5025,46.5505,35.6719,26.1854,12.6841,21.4477,51.7791,10.9965,9.89607,1105.01,75.1435
2/15/2000,13.6609,11.2957,22.7603,10.4175,24.1316,10.9954,55.7858,40.6265,47.0916,35.4619,26.2507,12.7142,21.5609,52.4065,11.0123,9.95786,1109.89,75.2085
