B12997,B01157,B09833,B06061,B11293,B05947,B13835,B14040,B04313,B11222,B08385,B11999,B02396,B04312,B07347,B13177,B04841,B13086,B00241,B07223,B03193,B15709,B04687,B05548,B05011,B13104,B06753,B08336,B10749,B10612,B14867,B10363,B14965,B09417,B07245,B04762,B12844,B09550,B15851,B14908,B13135,B06850,B00774,B00450,B03777,B05350,B02390,B15191,B06096,B11505
0.020215265257061674,-0.005107620154873056,0.04219437982650654,-0.020366174792769587,-0.0274394143984082,0.08755596214408895,-0.02477839936649038,-0.0023108804400859113,-0.0027018517988493087,-0.0378632065705017,0.011620370792978448,0.0018946317281716325,-0.06876905077934412,0.0017521902377972674,0.050436663803195995,-0.018660660936710035,0.04468542947394555,-0.004207608223827042,-0.09589611893425855,-0.10131776897445068,-0.10486848359588832,-0.07266943587147777,-0.0050339776081992,-0.09036380925781846,-0.05589860882095522,-0.06268841883257859,-0.13613480558898952,-0.09205358839551527,-0.026083768353789474,-0.029158306051325432,-0.0021174251837428526,-0.02226171852604165,-0.003498557449213404,-0.005813994668832583,-0.026230675612271305,-0.01949144377496664,0.0053684071143016215,-0.009868470613050503,-0.00432719665614543,-0.019589070376373943,-0.0036543000583876013,-0.0023233847590302436,-0.017706058731346105,-0.011656791602337608,0.002449515371002078,-0.03163724894890072,-0.005448564781063116,-0.02648900655315631,0.012089628060290803,-0.02330678901737794
0.011585410423214685,-0.019936026552774693,0.027871717987686603,-0.03486277418671181,-0.027735275736482483,0.08844489171432536,-0.030518872382654477,-0.013946003933488202,-0.003699351021518818,-0.051221314475528835,0.0017455213596693794,-0.005845506302274553,-0.08293609453757197,0.0005889998198926624,0.04645995751013104,-0.034105605439160414,0.03519277016584545,-0.027194133049868095,-0.10902869164465091,-0.10199062617500727,-0.09549687779532544,-0.06049253800530403,-0.024022207071878226,-0.08833088344369089,-0.06364212579229643,-0.062842063497062,-0.1282916839123401,-0.08948066960654193,-0.038677238445175066,-0.037455262165489146,-0.0025410284370978166,-0.023000155296002297,-0.0063438398516287384,-0.007691719640347378,-0.029964366314289115,-0.017986597060238987,0.004316684202171938,-0.009812355988184264,-0.0056634898857502195,-0.020992270368363854,-0.004403839013468037,-0.00019497822743127756,-0.020269107677483723,-0.007840684173707802,0.0013615459682461179,-0.038403150462827516,-0.0061672657293166695,-0.026570229987407643,0.00023429341249790224,-0.02835373734548676
-0.02940564595638453,-0.07137382981131456,-0.016100526589373342,-0.05424927252454374,-0.08656836890190868,0.017168308597748254,-0.08852376771604167,-0.06737263758975559,-0.07142578744870519,-0.11193890482225048,-0.0492585556465916,-0.0585829693479186,-0.12606455028102584,-0.06757401431177217,-0.004347986021703075,-0.08075476497628864,-0.021301855126660073,-0.08230916193789381,-0.16469258841540557,-0.1417440622983191,-0.13354893414394223,-0.10168917347278375,-0.07025400829296102,-0.12521546173201517,-0.09212948608634988,-0.0987239386160921,-0.16989899725767932,-0.1263353776799287,-0.07494489346069068,-0.07944168690815646,-0.011410692608866587,-0.030379455667189754,-0.011720115854878543,-0.01744368154111471,-0.038642298897811636,-0.025613867589581597,-0.0018431876970047426,-0.01731359024402073,-0.012941437226025733,-0.026914630226994,-0.01247710078372495,-0.006876672170184016,-0.026112038207674205,-0.013735525128185487,-0.0048480531254784295,-0.04735835336510615,-0.013281260965374068,-0.03473055352353073,-0.015619427587266662,-0.03638001554081177
-0.09617186747357262,-0.135515872707159,-0.08645125948855295,-0.11038288157970859,-0.16499782615966016,-0.04559816616070869,-0.16334073021599968,-0.11782575507509489,-0.14422185518674405,-0.20908588805160014,-0.12164891505118341,-0.11613235195418241,-0.18486767234680423,-0.1396719814504793,-0.06918307041224267,-0.14377867651574297,-0.09194130725535156,-0.15272634518067077,-0.21509686108595674,-0.2024571240105541,-0.19636320651300856,-0.16486627335414036,-0.12806457462365023,-0.19335702029126026,-0.15677390548257467,-0.1513396046320365,-0.23339079564358634,-0.19430055748811345,-0.1352450390227065,-0.13740395590916069,-0.014448853481961671,-0.025458942686945093,-0.026153484819623693,-0.022896869759642266,-0.041044041136041653,-0.028678817835444348,-0.0033194407042404315,-0.020855428057586306,-0.014538087520259266,-0.027019106873320344,-0.015340086184772886,-0.007283184175871375,-0.026972604145290395,-0.012683658954197652,-0.007434922661713913,-0.05422601732178852,-0.019726470669579752,-0.039068364241571105,-0.016631844516879674,-0.038131457611146724
-0.09255215595485519,-0.12907209602486053,-0.07255687106339688,-0.10611725169996583,-0.16619936569638794,-0.04426181571940848,-0.15350668317617552,-0.11550120899512821,-0.13646414933792744,-0.20269662640670477,-0.12161252099192721,-0.10760013001629443,-0.18062368779788843,-0.1328304217398977,-0.06431421284423641,-0.14257321171387421,-0.07959538620770593,-0.15164097374080562,-0.21535909273530063,-0.20201055789285646,-0.19064299530201476,-0.15604776789814045,-0.12815334343136417,-0.1929161461387451,-0.15585642168691763,-0.15430516451653573,-0.21763473068939693,-0.19373251089195084,-0.13728885135135144,-0.13746063279080875,-0.01641561799287675,-0.024145485003704815,-0.02746669463195287,-0.024657148333137015,-0.04221347408393298,-0.028471255403051263,-0.005623715522090508,-0.021945244999451927,-0.014740769929794442,-0.028073073914600965,-0.016034595264164852,-0.012949517655769814,-0.027187020622698954,-0.012741061448561648,-0.008659912337428978,-0.054927541142850644,-0.02218170977016422,-0.03902311361716808,-0.020681575762760588,-0.03808267663950846
-0.053413096891357766,-0.07513622024663033,-0.022342520554235818,-0.07911001565821883,-0.1141238203547415,-0.004694689715209655,-0.08022755451827004,-0.07630557470162373,-0.0673397623741276,-0.13512060224304812,-0.06088165038002172,-0.0559121249908311,-0.14232302711903913,-0.06467265288582905,-0.008403660071239138,-0.09825790806319319,-0.00908134316587328,-0.09627679578789027,-0.17555376203233414,-0.15163913060704445,-0.13234753399082708,-0.10109842326161755,-0.09654324412091027,-0.14435132894668662,-0.11273002824845206,-0.11710332895763625,-0.16204520607154657,-0.14537696321620439,-0.09670981060638513,-0.08828259283211881,0.009022973723042754,-0.0014537970237997785,-0.011698480441864138,-0.0035348806802661297,-0.016433178782634287,-0.003236293778631717,0.015556284318424518,0.0014943332363118395,0.007835981982128717,-0.0070487372369306125,0.00794243584481184,0.0115139491764553,-0.005475089363465851,0.006738239089419387,0.013772659303759389,-0.024406757876423733,0.0019187252990188117,-0.009717367978705179,0.037025430947300694,-0.008362558467938494
-0.10499731137772059,-0.13189302598994426,-0.08255440848214289,-0.11959652652758644,-0.17372780909234584,-0.06484029560001241,-0.13350649771002246,-0.11755257690294964,-0.11048707168608324,-0.23144159723313948,-0.12620777598055577,-0.11210914637011848,-0.20111078191614903,-0.10753447136415342,-0.06054151057038946,-0.15507833174552774,-0.08724869369695477,-0.15284982352271426,-0.20492902601495236,-0.1917557010113134,-0.1725712392854806,-0.13456188533382957,-0.14264377911024423,-0.17665553537602283,-0.143065504320416,-0.13830899298826896,-0.199235272048885,-0.1777154196769093,-0.13313948516206286,-0.1362334290479548,-0.010245792501065104,-0.014417810425929555,-0.029808483117848512,-0.021055162385768517,-0.03613802609232753,-0.02386806727579589,0.0024119192816549166,-0.015108067115366327,-0.009907033712828426,-0.023153231525004994,-0.012190056166617311,-0.006466768586633003,-0.01992292821895511,-0.004316268631735846,0.0004949554827831043,-0.05138398931399412,-0.017454505598388827,-0.034609199099388796,-0.011170615937076763,-0.03292222208338018
-0.09473628280967737,-0.12131224140897673,-0.07238036621018618,-0.10960476540153057,-0.1763029535410153,-0.06093492379264178,-0.12104358128399005,-0.10981854207946609,-0.10635657066048074,-0.21561026919630685,-0.1161322898258016,-0.10053137627210956,-0.20048568391247615,-0.10442300691663624,-0.06329161371392662,-0.14988753099539504,-0.09111722505154563,-0.13944358478697075,-0.18620803580944267,-0.1737021822040576,-0.15802103590754105,-0.11784642015101328,-0.1457219003437179,-0.15805391705370148,-0.1277465018365958,-0.11439148315446888,-0.17169425465596105,-0.1590662745891224,-0.11807811308141279,-0.11970488269916275,-0.012763426353601101,-0.01065765113096674,-0.022545207166956148,-0.024028734351926966,-0.03492125473342595,-0.020847436653345885,-0.0007861200760422494,-0.018362676160456143,-0.006296850371594388,-0.021111545805426794,-0.012221835346799518,-0.0065320570398993,-0.021205023897607596,-0.006915873340719602,-0.0027292654828357608,-0.04903534351772691,-0.02062937899858783,-0.030340367645487896,0.004331514793387159,-0.02641208501376888
-0.06386591396437791,-0.08617214789736777,-0.034717559764882146,-0.08678165122279914,-0.13467228608259463,-0.028240825548024585,-0.08054966563366506,-0.08176369863013704,-0.06249295646154099,-0.15304332120649172,-0.06770671901367213,-0.06447155901683907,-0.16353942325469828,-0.060755373629544154,-0.031119723785902477,-0.11585691404164437,-0.04054071435002377,-0.10708828503674951,-0.17051389053240493,-0.1541979379133044,-0.13351757059989747,-0.10045161206794069,-0.1131336440256479,-0.13830431979368146,-0.10557392536608406,-0.10708500556065961,-0.15614278376990234,-0.13936297646227713,-0.09893924294376977,-0.0974862235526226,0.008958023093407005,0.008919055365456887,-0.005668965441326266,0.0015157135072510388,-0.011929970131373074,0.006656585316440951,0.021720959901458503,0.006701714850564553,0.015303455348627539,-0.004547994807281449,0.010721985003695369,0.013402841296612525,-0.0019483615618961505,0.012243931375836124,0.018961821662722183,-0.024534275066580343,0.0018162771081058741,-0.00584778720867515,0.0385981481380678,-0.0038748630151149094
-0.06137903205034644,-0.08742999472116197,-0.03643470341198492,-0.09013086611389892,-0.13769022778703574,-0.03191346612595424,-0.09047083526663881,-0.0830847761466125,-0.0701861807011354,-0.16700077101002306,-0.07810254749030264,-0.06655322268726843,-0.15973637555678868,-0.0682563961773281,-0.030182165455464642,-0.11384206236863549,-0.050975008000330446,-0.10615056962837999,-0.16230848552474167,-0.15647736765008535,-0.13978369417197892,-0.09870666654399583,-0.11092415966421108,-0.14329805719877792,-0.10495184931886652,-0.10719280542425702,-0.1626421901633479,-0.14418574531253112,-0.0968416010043444,-0.10158228900043204,-0.00015025510704040642,0.0007703120160732686,-0.012674582594058563,-0.004540738369466162,-0.019285690325461177,-4.2941184890430034e-05,0.013999536980294505,-0.0010605782482394235,0.008875423275708429,-0.009617204897765637,0.0016013453908630387,0.005549819984592554,-0.008760987830392865,0.006127621971071124,0.012210711299442973,-0.033228622533882715,-0.007306692526297413,-0.014076706078940371,0.01798565973786401,-0.01202677349849668
