as_of,B14867,B10363,B14965,B09417,B07245,B04762,B12844,B09550,B15851,B14908,B13135,B06850,B00774,B00450,B03777,B05350,B02390,B15191,B06096,B11505
1/1/2000,112.542,56.737,166.354,34.0558,28.4428,30.7402,28.1778,14.0592,9.97527,16.8723,162.713,99.2692,38.2938,19.2007,14.3982,28.7085,94.4992,14.0622,5.35803,84.9581
1/2/2000,112.542,56.737,166.354,34.0558,28.4428,30.7402,28.1778,14.0592,9.97527,16.8723,162.713,99.2692,38.2938,19.2007,14.3982,28.7085,94.4992,14.0622,5.35803,84.9581
1/3/2000,112.054,56.486,165.803,33.8407,28.2852,30.7402,28.123,14.0015,9.94396,16.7949,161.709,98.7015,38.244,19.098,14.338,28.5579,93.8387,14.0068,5.30444,84.4768
1/4/2000,112.347,56.6115,164.332,33.9483,28.3482,30.7402,28.1285,14.0189,9.9544,16.7794,162.197,99.0259,38.244,19.165,14.3681,28.6573,94.0148,14.0093,5.33659,84.754
1/5/2000,111.76,56.3604,164.378,33.769,28.2221,30.3579,28.0436,13.9762,9.93353,16.6554,161.423,98.6204,38.0696,19.0623,14.3079,28.5379,93.3103,13.9539,5.29373,84.506
1/6/2000,112.054,56.6115,163.823,33.8766,28.2852,30.3579,28.0792,14.0085,9.93353,16.7019,161.912,98.8637,38.2191,19.108,14.338,28.6034,93.7066,14.0143,5.32588,84.6519
1/7/2000,112.249,56.737,164.564,34.02,28.3482,30.3579,28.0958,14.0456,9.9544,16.7794,162.172,99.0259,38.3437,19.1537,14.3681,28.6712,94.1029,14.0369,5.34731,84.827
1/8/2000,112.249,56.737,164.564,34.02,28.3482,30.3579,28.0958,14.0456,9.9544,16.7794,162.172,99.0259,38.3437,19.1537,14.3681,28.6712,94.1029,14.0369,5.34731,84.827
1/9/2000,112.249,56.737,164.564,34.02,28.3482,30.3579,28.0958,14.0456,9.9544,16.7794,162.172,99.0259,38.3437,19.1537,14.3681,28.6712,94.1029,14.0369,5.34731,84.827
1/10/2000,112.054,56.6115,165.489,33.9841,28.2852,30.3579,28.0711,14.0179,9.94396,16.7329,161.972,98.8637,38.2689,19.1146,14.338,28.6141,93.9268,14.0394,5.31516,84.7104
1/11/2000,111.565,56.3604,165.119,33.769,28.1905,30.3579,28.0465,13.9602,9.91266,16.6864,161.312,98.5393,38.1443,19.0543,14.2803,28.5257,93.5745,13.984,5.28301,84.3311
1/12/2000,111.369,56.2349,164.934,33.7332,28.159,30.3579,28.0219,13.9326,9.91266,16.6709,161.112,98.4582,38.0447,19.0364,14.2677,28.4685,93.4864,13.9286,5.2723,84.2144
1/13/2000,111.858,56.486,165.119,33.9483,28.2852,30.3579,28.0575,14.0099,9.93353,16.7484,161.716,98.7826,38.2191,19.1032,14.3304,28.5676,93.9268,13.989,5.30444,84.4916
1/14/2000,111.565,56.3604,165.489,33.8049,28.2536,30.3579,28.0494,13.9743,9.92309,16.7174,161.401,98.6204,38.1443,19.0641,14.3027,28.5417,93.7947,13.9965,5.28301,84.4188
1/15/2000,111.565,56.3604,165.489,33.8049,28.2536,30.3579,28.0494,13.9743,9.92309,16.7174,161.401,98.6204,38.1443,19.0641,14.3027,28.5417,93.7947,13.9965,5.28301,84.4188
1/16/2000,111.565,56.3604,165.489,33.8049,28.2536,30.3579,28.0494,13.9743,9.92309,16.7174,161.401,98.6204,38.1443,19.0641,14.3027,28.5417,93.7947,13.9965,5.28301,84.4188
1/17/2000,111.565,56.3604,165.489,33.8049,28.2536,30.3579,28.0494,13.9774,9.92309,16.7174,161.401,98.6204,38.1443,19.0641,14.3027,28.547,93.7947,13.9965,5.28301,84.4188
1/18/2000,111.174,56.2349,165.674,33.8049,28.1905,30.3579,28.0248,13.9347,9.90222,16.7174,161.086,98.4582,38.0447,19.025,14.2601,28.4586,93.5745,13.9412,5.25086,84.1708
1/19/2000,111.271,56.3604,165.859,33.9124,28.2221,30.3579,28.0304,13.967,9.91266,16.7639,161.23,98.5393,38.0945,19.0494,14.2776,28.5264,93.8827,13.9437,5.26158,84.3167
1/20/2000,111.174,56.2349,165.859,33.8407,28.1905,30.3579,28.0359,13.9394,9.90222,16.7329,161.145,98.3771,38.0198,19.0526,14.265,28.5018,93.6626,13.9462,5.26158,84.2
1/21/2000,111.174,56.2349,166.23,33.9124,28.2221,30.3579,28.0526,13.9613,9.90222,16.7639,161.174,98.4582,38.0447,19.0347,14.2674,28.5382,93.8827,13.9537,5.30562,84.2439
1/22/2000,111.174,56.2349,166.23,33.9124,28.2221,30.3579,28.0526,13.9613,9.90222,16.7639,161.174,98.4582,38.0447,19.0347,14.2674,28.5382,93.8827,13.9537,5.30562,84.2439
1/23/2000,111.174,56.2349,166.23,33.9124,28.2221,30.3579,28.0526,13.9613,9.90222,16.7639,161.174,98.4582,38.0447,19.0347,14.2674,28.5382,93.8827,13.9537,5.30562,84.2439
1/24/2000,111.662,56.486,166.23,34.0558,28.3388,30.3579,28.1184,14.0237,9.93353,16.8414,161.778,98.8637,38.2191,19.1015,14.33,28.6687,94.279,14.0141,5.33798,84.6523
1/25/2000,111.662,56.486,166.23,34.0558,28.3388,30.3579,28.154,14.026,9.94396,16.8801,161.807,98.9448,38.2689,19.1472,14.3325,28.7051,94.5433,14.0166,5.33798,84.7982
1/26/2000,111.76,56.6115,166.044,34.1275,28.3705,30.3579,28.1594,14.0434,9.94396,16.9268,162.066,99.0259,38.3187,19.1501,14.35,28.7416,94.7634,14.0191,5.34876,84.9441
1/27/2000,111.956,56.5236,165.859,34.0917,28.434,30.3579,28.1648,14.0457,9.94396,16.9736,162.21,99.107,38.3337,19.1534,14.3525,28.7467,95.1177,14.0216,5.38111,85.09
1/28/2000,111.858,56.5236,165.119,34.0558,28.4974,30.3579,28.1508,14.0827,9.93353,16.9424,162.675,99.1881,38.459,19.1779,14.3919,28.8144,95.2505,14.0291,5.40268,85.1339
1/29/2000,111.858,56.5236,165.119,34.0558,28.4974,30.3579,28.1508,14.0827,9.93353,16.9424,162.675,99.1881,38.459,19.1779,14.3919,28.8144,95.2505,14.0291,5.40268,85.1339
1/30/2000,111.858,56.5236,165.119,34.0558,28.4974,30.3579,28.1508,14.0827,9.93353,16.9424,162.675,99.1881,38.459,19.1779,14.3919,28.8144,95.2505,14.0291,5.40268,85.1339
1/31/2000,111.565,56.3974,165.119,33.9841,28.434,30.7237,28.1259,14.0416,9.92309,16.8645,162.243,99.0259,38.3337,19.1751,14.3642,28.7568,94.9406,13.9661,5.38111,84.74
2/1/2000,111.821,56.5236,165.489,34.0558,28.4974,30.7237,28.1317,14.0741,9.93353,16.958,162.621,99.1881,38.4339,19.2211,14.3818,28.8246,95.3391,14.0268,5.39189,85.0197
2/2/2000,111.956,56.5236,165.859,34.0558,28.4974,31.313,28.1375,14.0765,9.92309,17.0671,162.883,99.2692,38.4089,19.2459,14.3995,28.861,95.9148,14.0293,5.42425,85.0354
2/3/2000,112.542,56.776,166.415,34.2709,28.6244,31.313,28.204,14.1392,9.94396,17.2853,163.606,99.5936,38.6093,19.3133,14.4474,28.9602,96.9333,14.0901,5.4566,85.3151
2/4/2000,112.249,56.6498,166.6,34.1634,28.6244,31.313,28.1913,14.1161,9.93353,17.1918,163.292,99.4314,38.5341,19.2742,14.4198,28.9026,96.5347,14.0398,5.44581,85.2302
2/5/2000,112.249,56.6498,166.6,34.1634,28.6244,31.313,28.1913,14.1161,9.93353,17.1918,163.292,99.4314,38.5341,19.2742,14.4198,28.9026,96.5347,14.0398,5.44581,85.2302
2/6/2000,112.249,56.6498,166.6,34.1634,28.6244,31.313,28.1913,14.1161,9.93353,17.1918,163.292,99.4314,38.5341,19.2742,14.4198,28.9026,96.5347,14.0398,5.44581,85.2302
2/7/2000,111.76,56.5236,166.646,34.3068,28.4657,31.313,28.1366,14.0581,9.92309,17.0983,162.746,99.107,38.3587,19.1925,14.377,28.7822,96.1362,13.9842,5.40268,84.8499
2/8/2000,112.054,56.6498,167.205,34.3068,28.5926,31.313,28.1729,14.1057,9.94396,17.2074,163.218,99.2692,38.5091,19.2386,14.4098,28.8814,96.6676,14.045,5.44581,85.1296
2/9/2000,111.858,56.5236,166.832,34.2351,28.4657,31.313,28.1181,14.0779,9.93353,17.1451,162.788,99.0259,38.3337,19.1995,14.367,28.7924,96.2247,14.0476,5.41346,84.8813
2/10/2000,111.369,56.3974,166.832,34.1275,28.3705,31.313,28.0933,14.035,9.92309,17.0048,162.358,98.8637,38.2335,19.1817,14.3393,28.7348,95.6048,13.992,5.35954,84.5011
2/11/2000,111.565,56.5236,166.46,34.2351,28.434,31.313,28.1415,14.0722,9.93353,17.0515,162.62,99.0259,38.3086,19.2066,14.357,28.8026,95.8262,13.9998,5.38111,84.6802
2/12/2000,111.565,56.5236,166.46,34.2351,28.434,31.313,28.1415,14.0722,9.93353,17.0515,162.62,99.0259,38.3086,19.2066,14.357,28.8026,95.8262,13.9998,5.38111,84.6802
2/13/2000,111.565,56.5236,166.46,34.2351,28.434,31.313,28.1415,14.0722,9.93353,17.0515,162.62,99.0259,38.3086,19.2066,14.357,28.8026,95.8262,13.9998,5.38111,84.6802
2/14/2000,111.956,56.776,166.46,34.1275,28.5609,31.313,28.2081,14.1198,9.9544,17.1762,163.113,99.2692,38.484,19.2503,14.4201,28.9017,96.4462,14.0606,5.40268,84.9598
2/15/2000,111.858,56.6498,166.646,34.1275,28.4974,31.313,28.2142,14.092,9.94396,17.1451,163.029,99.1881,38.4339,19.2515,14.3924,28.9068,96.4019,14.0632,5.40268,84.9755
2/16/2000,111.858,56.5236,166.832,34.1275,28.4974,31.313,28.2202,14.0944,9.94396,17.1295,162.945,99.1881,38.4089,19.2549,14.395,28.8805,96.3133,14.0077,5.39189,84.9912
2/17/2000,111.76,56.5236,166.832,34.0917,28.4974,31.313,28.2263,14.0816,9.93353,17.1918,162.861,99.107,38.4339,19.2158,14.3825,28.8542,96.579,14.0103,5.40268,85.007
2/18/2000,112.249,56.6498,166.46,34.1992,28.6244,31.313,28.3112,14.1363,9.9544,17.2853,163.354,99.5125,38.5842,19.2832,14.4304,28.9534,96.9775,14.0763,5.43503,85.2018
2/19/2000,112.249,56.6498,166.46,34.1992,28.6244,31.313,28.3112,14.1363,9.9544,17.2853,163.354,99.5125,38.5842,19.2832,14.4304,28.9534,96.9775,14.0763,5.43503,85.2018
2/20/2000,112.249,56.6498,166.46,34.1992,28.6244,31.313,28.3112,14.1363,9.9544,17.2853,163.354,99.5125,38.5842,19.2832,14.4304,28.9534,96.9775,14.0763,5.43503,85.2018
2/21/2000,112.249,56.6498,166.46,34.1992,28.6244,31.313,28.3112,14.1363,9.9544,17.2853,163.354,99.5125,38.5842,19.2832,14.4304,28.9585,96.9775,14.0763,5.43503,85.2018
2/22/2000,112.836,57.0283,166.46,34.4501,28.7513,31.313,28.3779,14.2291,9.99613,17.4256,164.078,99.918,38.8348,19.3932,14.5237,29.1712,97.5532,14.1371,5.50103,85.6134
2/23/2000,112.249,56.9021,166.832,34.3068,28.6561,31.313,28.3234,14.1863,9.9857,17.3633,163.649,99.6747,38.6845,19.3328,14.4658,29.0517,97.1989,14.0815,5.46848,85.3652
2/24/2000,112.64,57.0283,166.832,34.7369,28.7164,31.313,28.3901,14.2339,9.99613,17.4256,164.027,99.9991,38.8641,19.4002,14.5138,29.1214,97.5975,14.1423,5.47933,85.5128
2/25/2000,112.542,57.0535,166.832,34.6652,28.6845,31.313,28.4083,14.241,9.99613,17.4022,163.943,100.08,38.8389,19.4036,14.5544,29.1281,97.4194,14.1501,5.46848,85.428
2/26/2000,112.542,57.0535,166.832,34.6652,28.6845,31.313,28.4083,14.241,9.99613,17.4022,163.943,100.08,38.8389,19.4036,14.5544,29.1281,97.4194,14.1501,5.46848,85.428
2/27/2000,112.542,57.0535,166.832,34.6652,28.6845,31.313,28.4083,14.241,9.99613,17.4022,163.943,100.08,38.8389,19.4036,14.5544,29.1281,97.4194,14.1501,5.46848,85.428
2/28/2000,112.054,56.9267,166.646,34.5219,28.6206,31.313,28.3235,14.1981,9.9857,17.3238,163.763,99.7558,38.6626,19.3408,14.5014,29.0717,96.8406,14.0946,5.43592,85.3117
2/29/2000,112.855,56.9267,167.392,34.5577,28.6525,32.2979,28.3593,14.2155,9.9857,17.3552,164.027,99.7558,38.713,19.4037,14.5192,29.0738,96.9741,14.158,5.43592,85.3274
3/1/2000,113.003,57.0535,167.764,34.6652,28.6525,29.1173,28.3954,14.2331,10.0066,17.4022,164.057,99.7558,38.7382,19.407,14.537,29.0805,96.9741,14.1606,5.42507,85.3421
3/2/2000,112.806,57.0535,167.578,34.6294,28.6525,29.1173,28.4008,14.2355,9.99613,17.3709,164.087,99.7558,38.7382,19.4103,14.5243,29.0871,97.0632,14.1632,5.42507,85.3569
3/3/2000,113.003,57.1803,168.324,34.7369,28.7164,29.1173,28.4477,14.2731,10.0066,17.4336,164.35,99.918,38.8137,19.4418,14.5572,29.1253,97.5084,14.2288,5.44678,85.6666
3/4/2000,113.003,57.1803,168.324,34.7369,28.7164,29.1173,28.4477,14.2731,10.0066,17.4336,164.35,99.918,38.8137,19.4418,14.5572,29.1253,97.5084,14.2288,5.44678,85.6666
3/5/2000,113.003,57.1803,168.324,34.7369,28.7164,29.1173,28.4477,14.2731,10.0066,17.4336,164.35,99.918,38.8137,19.4418,14.5572,29.1253,97.5084,14.2288,5.44678,85.6666
3/6/2000,112.904,57.0535,168.324,34.7011,28.6845,29.1173,28.4226,14.2453,10.0066,17.4022,164.032,99.8369,38.7634,19.4023,14.5294,29.1004,97.4194,14.1727,5.43592,85.5487
3/7/2000,113.003,57.1803,168.184,34.7369,28.7164,29.1173,28.4281,14.2477,10.017,17.4493,164.294,99.918,38.8137,19.427,14.5471,29.1386,97.7756,14.1751,5.43592,85.5635
3/8/2000,113.003,57.1803,168.184,34.7369,28.6845,29.1173,28.4335,14.2501,10.017,17.4336,164.208,99.918,38.8137,19.4304,14.5497,29.1453,97.5084,14.1775,5.42507,85.5782
3/9/2000,113.2,57.1803,168.372,34.8445,28.6845,29.1173,28.4999,14.2526,10.017,17.4493,164.355,100.08,38.8641,19.4552,14.5522,29.1835,97.4194,14.1798,5.42507,85.593
3/10/2000,112.904,57.0535,168.559,34.8086,28.6206,29.1173,28.5162,14.2295,10.0066,17.4022,164.153,99.918,38.7382,19.4224,14.5244,29.1271,97.1522,14.187,5.40337,85.2392
3/11/2000,112.904,57.0535,168.559,34.8086,28.6206,29.1173,28.5162,14.2295,10.0066,17.4022,164.153,99.918,38.7382,19.4224,14.5244,29.1271,97.1522,14.187,5.40337,85.2392
3/12/2000,112.904,57.0535,168.559,34.8086,28.6206,29.1173,28.5162,14.2295,10.0066,17.4022,164.153,99.918,38.7382,19.4224,14.5244,29.1271,97.1522,14.187,5.40337,85.2392
3/13/2000,112.806,57.0535,168.184,34.8086,28.6206,29.1173,28.4302,14.232,10.0066,17.4022,164.183,99.8369,38.7382,19.4257,14.5269,29.1022,97.1968,14.1894,5.40337,85.1213
3/14/2000,113.003,57.1803,167.996,34.8803,28.6845,29.1173,28.4967,14.2647,10.0274,17.4179,164.561,100.08,38.8641,19.4719,14.5598,29.2034,97.4194,14.1917,5.42507,85.4014
3/15/2000,113.003,57.3071,167.433,34.8445,28.6845,29.1173,28.4717,14.2974,10.0379,17.4179,164.707,100.161,38.8893,19.4753,14.5776,29.2101,97.4639,14.1941,5.43592,85.4162
3/16/2000,113.2,57.4339,167.808,34.952,28.7483,29.1173,28.5076,14.315,10.0483,17.4806,164.97,100.324,38.99,19.5213,14.5953,29.2798,97.8646,14.255,5.45763,85.5637
3/17/2000,113.396,57.5607,168.184,35.0237,28.8122,29.1173,28.5545,14.3526,10.0692,17.5433,165.232,100.567,39.0908,19.5527,14.6282,29.2865,98.2653,14.2621,5.46848,85.8734
3/18/2000,113.396,57.5607,168.184,35.0237,28.8122,29.1173,28.5545,14.3526,10.0692,17.5433,165.232,100.567,39.0908,19.5527,14.6282,29.2865,98.2653,14.2621,5.46848,85.8734
3/19/2000,113.396,57.5607,168.184,35.0237,28.8122,29.1173,28.5545,14.3526,10.0692,17.5433,165.232,100.567,39.0908,19.5527,14.6282,29.2865,98.2653,14.2621,5.46848,85.8734
3/20/2000,113.396,57.5607,167.433,35.0237,28.8122,29.1173,28.499,14.3551,10.0692,17.5904,165.324,100.567,39.116,19.5561,14.6357,29.3509,98.4434,14.2645,5.47933,86.0209
3/21/2000,113.691,57.5607,167.433,35.1313,28.8122,29.1173,28.535,14.3575,10.0692,17.6374,165.471,100.729,39.1664,19.5808,14.6536,29.3889,98.6215,14.2669,5.47933,86.1683
3/22/2000,113.593,57.5607,167.808,35.1313,28.7483,29.1173,28.5404,14.36,10.0692,17.6688,165.501,100.81,39.1664,19.5841,14.6562,29.3634,98.7551,14.2692,5.51188,86.0504
3/23/2000,113.888,57.6875,167.808,35.1313,28.8122,29.1173,28.5764,14.3927,10.0796,17.7158,165.764,100.972,39.2671,19.6089,14.6892,29.4014,99.1113,14.3301,5.52279,86.1979
3/24/2000,113.396,57.4339,167.808,35.0237,28.7132,29.1173,28.4708,14.3394,10.0483,17.6296,164.982,100.567,39.0908,19.5333,14.6159,29.3125,98.7551,14.2788,5.47913,85.9768
3/25/2000,113.396,57.4339,167.808,35.0237,28.7132,29.1173,28.4708,14.3394,10.0483,17.6296,164.982,100.567,39.0908,19.5333,14.6159,29.3125,98.7551,14.2788,5.47913,85.9768
3/26/2000,113.396,57.4339,167.808,35.0237,28.7132,29.1173,28.4708,14.3394,10.0483,17.6296,164.982,100.567,39.0908,19.5333,14.6159,29.3125,98.7551,14.2788,5.47913,85.9768
3/27/2000,113.003,57.4339,167.621,35.0237,28.681,29.1173,28.4457,14.3267,10.0483,17.6296,164.897,100.567,39.0908,19.5152,14.6033,29.3187,98.8887,14.2226,5.47913,85.8588
3/28/2000,113.101,57.4339,167.433,34.952,28.681,29.1173,28.4512,14.3292,10.0483,17.6296,165.044,100.567,39.116,19.5395,14.6059,29.3249,98.7996,14.225,5.47913,85.8736
3/29/2000,113.003,57.3451,166.307,34.8803,28.6489,29.1173,28.4262,14.3316,10.0483,17.5823,164.958,100.648,39.1326,19.5429,14.6084,29.3312,98.6653,14.2274,5.47913,85.623
3/30/2000,113.593,57.6,165.556,34.9162,28.7132,29.1173,28.4621,14.3947,10.0692,17.6453,165.635,100.978,39.3352,19.5676,14.6566,29.4009,99.0235,14.2883,5.52279,85.7704
3/31/2000,114.325,57.7274,165.931,35.0237,28.7775,33.6734,28.4801,14.4122,10.0796,17.6138,165.899,101.143,39.4112,19.6138,14.705,29.4071,99.2025,14.2906,5.47913,85.9179
4/1/2000,114.325,57.7274,165.931,35.0237,28.7775,33.6734,28.4801,14.4122,10.0796,17.6138,165.899,101.143,39.4112,19.6138,14.705,29.4071,99.2025,14.2906,5.47913,85.9179
4/2/2000,114.325,57.7274,165.931,35.0237,28.7775,33.6734,28.4801,14.4122,10.0796,17.6138,165.899,101.143,39.4112,19.6138,14.705,29.4071,99.2025,14.2906,5.47913,85.9179
4/3/2000,114.449,57.8549,165.368,35.0596,28.8097,33.6734,28.5164,14.4452,10.1005,17.6296,166.163,101.39,39.4112,19.6388,14.7228,29.4134,99.2921,14.3518,5.49005,86.0563
4/4/2000,115.043,58.3646,166.354,35.1671,28.8418,33.6734,28.5835,14.5086,10.1422,17.6769,166.778,101.803,39.4619,19.7499,14.8018,29.4831,99.4264,14.472,5.52279,86.328
4/5/2000,114.647,58.2372,165.219,35.203,28.7453,29.6351,28.4971,14.4958,10.1214,17.6296,166.576,101.638,39.2086,19.7103,14.7737,29.4259,99.113,14.4157,5.49005,85.9327
4/6/2000,114.35,58.1097,165.976,35.1313,28.8097,29.6351,28.5335,14.4831,10.1109,17.6296,166.49,101.555,39.1833,19.6707,14.761,29.4004,99.2921,14.4183,5.47913,85.9377
4/7/2000,114.647,58.1097,166.921,35.2388,28.8418,29.6351,28.612,14.521,10.1214,17.6926,166.988,101.803,39.2086,19.7457,14.7788,29.4701,99.6502,14.4259,5.52279,86.2194
4/8/2000,114.647,58.1097,166.921,35.2388,28.8418,29.6351,28.612,14.521,10.1214,17.6926,166.988,101.803,39.2086,19.7457,14.7788,29.4701,99.6502,14.4259,5.52279,86.2194
4/9/2000,114.647,58.1097,166.921,35.2388,28.8418,29.6351,28.612,14.521,10.1214,17.6926,166.988,101.803,39.2086,19.7457,14.7788,29.4701,99.6502,14.4259,5.52279,86.2194
4/10/2000,114.746,58.2372,166.354,35.3105,28.874,29.6351,28.6789,14.5387,10.1422,17.7242,167.253,102.05,39.1326,19.7707,14.8119,29.4763,99.7845,14.4285,5.53371,86.3681
4/11/2000,114.153,57.9823,165.976,35.1313,28.7453,29.6351,28.5619,14.4802,10.1214,17.598,166.584,101.555,38.93,19.688,14.7533,29.4826,99.2025,14.431,5.49005,85.7164
4/12/2000,113.658,57.8549,165.219,35.0954,28.6489,29.6351,28.4143,14.437,10.0796,17.4876,166.031,101.225,38.7273,19.6269,14.71,29.235,98.6653,14.3748,5.44639,85.4649
4/13/2000,113.757,57.9823,165.219,35.203,28.681,29.6351,28.3587,14.4699,10.09,17.5192,166.412,101.39,38.7527,19.6519,14.7278,29.3047,98.8892,14.4361,5.4573,85.4803
4/14/2000,113.856,58.1097,163.896,35.1671,28.7132,29.6351,28.3761,14.5078,10.1005,17.5192,166.56,101.638,38.8793,19.7054,14.7609,29.2792,98.8444,14.4438,5.42456,85.6597
4/15/2000,113.856,58.1097,163.896,35.1671,28.7132,29.6351,28.3761,14.5078,10.1005,17.5192,166.56,101.638,38.8793,19.7054,14.7609,29.2792,98.8444,14.4438,5.42456,85.6597
4/16/2000,113.856,58.1097,163.896,35.1671,28.7132,29.6351,28.3761,14.5078,10.1005,17.5192,166.56,101.638,38.8793,19.7054,14.7609,29.2792,98.8444,14.4438,5.42456,85.6597
4/17/2000,113.163,57.9823,164.085,35.0237,28.5203,29.6351,28.2592,14.4493,10.09,17.393,165.774,101.225,38.6767,19.6227,14.7023,29.1585,97.9491,14.4463,5.36999,85.1414
4/18/2000,112.867,57.8549,164.841,35.0954,28.5524,29.6351,28.2039,14.4365,10.0796,17.3615,165.688,101.06,38.626,19.6259,14.6895,29.133,97.8595,14.3901,5.35907,85.0233
4/19/2000,113.064,58.1097,165.03,35.1313,28.681,29.6351,28.3018,14.4695,10.1005,17.4246,166.303,101.39,38.8033,19.694,14.7227,29.2345,98.4863,14.4514,5.36999,85.4389
4/20/2000,113.064,58.1097,165.03,34.9879,28.7132,29.6351,28.2953,14.4946,10.1005,17.4088,166.334,101.473,38.8287,19.7044,14.7252,29.2906,98.7101,14.454,5.41572,85.5003
4/21/2000,113.064,58.1097,165.03,34.9879,28.7132,29.6351,28.2953,14.4946,10.1005,17.4088,166.334,101.473,38.8287,19.7044,14.7252,29.2972,98.7101,14.454,5.41572,85.5003
4/22/2000,113.064,58.1097,165.03,34.9879,28.7132,29.6351,28.2953,14.4946,10.1005,17.4088,166.334,101.473,38.8287,19.7044,14.7252,29.2972,98.7101,14.454,5.41572,85.5003
4/23/2000,113.064,58.1097,165.03,34.9879,28.7132,29.6351,28.2953,14.4946,10.1005,17.4088,166.334,101.473,38.8287,19.7044,14.7252,29.2972,98.7101,14.454,5.41572,85.5003
4/24/2000,112.867,58.1097,164.841,34.9879,28.6135,29.6351,28.2703,14.4818,10.1109,17.3615,166.248,101.39,38.4994,19.6862,14.7124,29.3038,98.3072,14.4565,5.40473,85.3822
4/25/2000,112.273,57.8294,165.03,34.8445,28.4517,29.6351,28.1227,14.4233,10.0796,17.2905,165.462,100.895,38.1954,19.6036,14.6385,29.1507,97.8148,14.4003,5.36079,84.9973
4/26/2000,112.174,57.7011,165.219,34.8445,28.4517,29.6351,28.0978,14.3953,10.0692,17.2747,165.493,100.813,38.3221,19.5855,14.6411,29.1573,97.9048,14.344,5.37178,85.0126
4/27/2000,111.581,57.4447,165.219,34.6294,28.3546,29.6351,27.9501,14.3216,10.0274,17.1795,164.987,100.4,38.2583,19.5028,14.5825,29.0681,97.5448,14.2877,5.33882,84.4943
4/28/2000,112.2,57.4447,165.787,34.7011,28.3546,33.0625,27.9982,14.3338,10.0274,17.1795,165.018,100.4,38.2328,19.5231,14.6079,29.0746,96.9149,14.3078,5.31685,84.5104
4/29/2000,112.2,57.4447,165.787,34.7011,28.3546,33.0625,27.9982,14.3338,10.0274,17.1795,165.018,100.4,38.2328,19.5231,14.6079,29.0746,96.9149,14.3078,5.31685,84.5104
4/30/2000,112.2,57.4447,165.787,34.7011,28.3546,33.0625,27.9982,14.3338,10.0274,17.1795,165.018,100.4,38.2328,19.5231,14.6079,29.0746,96.9149,14.3078,5.31685,84.5104
5/1/2000,112.045,57.3165,166.165,34.5936,28.3546,33.0625,27.973,14.321,10.0379,17.1636,164.932,100.235,38.2073,19.5049,14.5797,29.0493,96.8699,14.3104,5.31685,84.3912
5/2/2000,111.846,57.1883,165.787,34.5577,28.2898,33.0625,27.886,14.2928,10.017,17.1319,164.492,100.07,38.1309,19.465,14.567,28.992,96.8249,14.2538,5.2839,84.1378
5/3/2000,111.149,57.06,165.409,34.3426,28.128,28.611,27.8298,14.2341,9.99613,17.0685,163.936,99.7404,37.9017,19.4034,14.4928,28.9028,96.33,14.1972,5.23995,83.7503
5/4/2000,110.652,56.8036,165.409,34.1634,28.0309,28.611,27.7737,14.1753,9.97527,16.9733,163.496,99.4105,37.596,19.3202,14.4494,28.8135,95.8351,14.1408,5.19601,83.2287
5/5/2000,110.353,56.6754,165.409,34.0558,27.9985,28.611,27.7285,14.1368,9.9544,16.9574,163.174,99.2455,37.6215,19.2871,14.4059,28.7243,95.6551,14.0896,5.17404,83.1393
5/6/2000,110.353,56.6754,165.409,34.0558,27.9985,28.611,27.7285,14.1368,9.9544,16.9574,163.174,99.2455,37.6215,19.2871,14.4059,28.7243,95.6551,14.0896,5.17404,83.1393
5/7/2000,110.353,56.6754,165.409,34.0558,27.9985,28.611,27.7285,14.1368,9.9544,16.9574,163.174,99.2455,37.6215,19.2871,14.4059,28.7243,95.6551,14.0896,5.17404,83.1393
5/8/2000,110.054,56.5471,165.267,33.9483,27.9014,28.611,27.7031,14.1086,9.94396,16.8622,162.795,98.998,37.4432,19.2473,14.3828,28.667,95.2052,14.0922,5.11912,82.7518
5/9/2000,110.254,56.8036,164.696,33.9841,27.9662,28.611,27.6777,14.1264,9.9544,16.8939,163.059,99.0805,37.4941,19.2507,14.4007,28.6736,95.5201,14.0949,5.1301,82.9009
5/10/2000,110.353,56.9318,163.363,34.0917,27.9985,28.611,27.7139,14.1748,9.97527,16.9415,163.441,99.328,37.5705,19.319,14.4341,28.7121,95.7001,14.1567,5.15207,83.05
5/11/2000,110.453,56.9318,163.553,34.0917,28.0309,28.611,27.7502,14.1772,9.97527,16.9733,163.589,99.4105,37.6469,19.3224,14.452,28.7539,95.7451,14.1593,5.15207,82.9307
5/12/2000,109.855,56.6754,163.744,33.9483,27.9985,28.611,27.6738,14.1234,9.94396,16.9098,162.915,99.0805,37.6979,19.2027,14.3777,28.6361,95.5201,14.049,5.09715,82.7073
5/13/2000,109.855,56.6754,163.744,33.9483,27.9985,28.611,27.6738,14.1234,9.94396,16.9098,162.915,99.0805,37.6979,19.2027,14.3777,28.6361,95.5201,14.049,5.09715,82.7073
5/14/2000,109.855,56.6754,163.744,33.9483,27.9985,28.611,27.6738,14.1234,9.94396,16.9098,162.915,99.0805,37.6979,19.2027,14.3777,28.6361,95.5201,14.049,5.09715,82.7073
5/15/2000,110.054,56.6754,163.744,33.9841,27.9985,28.611,27.7101,14.1565,9.9544,16.9574,163.179,99.163,37.7743,19.2494,14.3956,28.6977,95.9701,14.1108,5.11912,82.8563
